INFO:root:Current date and time: 2023-02-15 17:46:17.363286
INFO:root:Start
INFO:root:Epoch 1 ;train_MSE = 2.5301 ; val_MSE = 1.2421 ; time = 1.6382
INFO:root:Epoch 2 ;train_MSE = 1.3181 ; val_MSE = 1.1266 ; time = 1.6678
INFO:root:Epoch 3 ;train_MSE = 1.2075 ; val_MSE = 1.0745 ; time = 1.6868
INFO:root:Epoch 4 ;train_MSE = 1.1300 ; val_MSE = 1.0380 ; time = 1.6674
INFO:root:Epoch 5 ;train_MSE = 1.0677 ; val_MSE = 1.0053 ; time = 1.6753
INFO:root:Epoch 6 ;train_MSE = 1.0174 ; val_MSE = 0.9937 ; time = 1.6845
INFO:root:Epoch 7 ;train_MSE = 0.9789 ; val_MSE = 0.9823 ; time = 1.6703
INFO:root:Epoch 8 ;train_MSE = 0.9479 ; val_MSE = 0.9682 ; time = 1.6736
INFO:root:Epoch 9 ;train_MSE = 0.9243 ; val_MSE = 0.9800 ; time = 1.6913
INFO:root:Epoch 10 ;train_MSE = 0.9041 ; val_MSE = 0.9655 ; time = 1.6839
INFO:root:Epoch 11 ;train_MSE = 0.8876 ; val_MSE = 0.9639 ; time = 1.6804
INFO:root:Epoch 12 ;train_MSE = 0.8734 ; val_MSE = 0.9620 ; time = 1.6881
INFO:root:Epoch 13 ;train_MSE = 0.8601 ; val_MSE = 0.9628 ; time = 1.6901
INFO:root:Epoch 14 ;train_MSE = 0.8491 ; val_MSE = 0.9694 ; time = 1.6788
INFO:root:Epoch 15 ;train_MSE = 0.8381 ; val_MSE = 0.9754 ; time = 1.6817
INFO:root:Epoch 16 ;train_MSE = 0.8279 ; val_MSE = 0.9822 ; time = 1.6984
INFO:root:Epoch 17 ;train_MSE = 0.8190 ; val_MSE = 0.9720 ; time = 1.6744
INFO:root:Epoch 18 ;train_MSE = 0.8097 ; val_MSE = 0.9784 ; time = 1.6857
INFO:root:Epoch 19 ;train_MSE = 0.8012 ; val_MSE = 0.9866 ; time = 1.7017
INFO:root:Epoch 20 ;train_MSE = 0.7932 ; val_MSE = 0.9915 ; time = 1.6858
INFO:root:Epoch 21 ;train_MSE = 0.7849 ; val_MSE = 0.9882 ; time = 1.6851
INFO:root:End
